I17PERIOD;I17TIMEST;I17SOLO;I17FUNCSYSTEM;I17PORTID;I17CLASSID;I17CFTYPE;I17CFID;I17CFREV;I17CFDATE1;I17CFDATE2;I17VALUE;I17CURR;I17FUNCTVALUE;I17FUNCTCURR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRH_L510_2021_NO_13206/1;;Y20R;CZR_DEF_20220427185913_18;;20211231;20211231;-72431,00;EUR;-72431,00;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_ON_10376/1;;Z20R;CZR_DEF_20220427185913_180;;20211231;20211231;-206,49;BGN;-105,58;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_ON_10388/1;;Z10R;CZR_DEF_20220427185913_181;;20211231;20211231;-2095650,51;EUR;-2095650,51;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_ON_10388/1;;Z20P;CZR_DEF_20220427185913_182;;20211231;20211231;434606,39;EUR;434606,39;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_ON_10532/1;;Z10R;CZR_DEF_20220427185913_183;;20211231;20211231;-38371,64;EUR;-38371,64;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_ON_10532/1;;Z20P;CZR_DEF_20220427185913_184;;20211231;20211231;34744,60;EUR;34744,60;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_ON_10533/1;;Z10R;CZR_DEF_20220427185913_185;;20211231;20211231;-15872,27;EUR;-15872,27;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_ON_10533/1;;Z20P;CZR_DEF_20220427185913_186;;20211231;20211231;6763,94;EUR;6763,94;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_ON_11957/1;;Z10R;CZR_DEF_20220427185913_187;;20211231;20211231;-1060,07;EUR;-1060,07;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_ON_11957/1;;Z20P;CZR_DEF_20220427185913_188;;20211231;20211231;375,80;EUR;375,80;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_ON_12300/1;;Z10R;CZR_DEF_20220427185913_189;;20211231;20211231;-315294,54;GEL;-90215,61;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRH_L510_2021_NO_13665/1;;Y10P;CZR_DEF_20220427185913_19;;20211231;20211231;830729,00;EUR;830729,00;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_ON_12300/1;;Z20P;CZR_DEF_20220427185913_190;;20211231;20211231;54711,58;GEL;15654,69;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_ON_12675/1;;Z10R;CZR_DEF_20220427185913_191;;20211231;20211231;-8678,78;PLN;-1887,96;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_ON_12675/1;;Z20P;CZR_DEF_20220427185913_192;;20211231;20211231;19200,00;PLN;4176,73;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_ON_12841/1;;Z10R;CZR_DEF_20220427185913_193;;20211231;20211231;-581,28;PLN;-126,45;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRH_L320_2021_NO_13893/1;;Y10P;CZR_DEF_20220427185913_2;;20211231;20211231;861,80;EUR;861,80;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRH_L510_2021_NO_13665/1;;Y20R;CZR_DEF_20220427185913_20;;20211231;20211231;-585067,00;EUR;-585067,00;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRH_L510_2021_NO_13667/1;;Y10P;CZR_DEF_20220427185913_21;;20211231;20211231;194687,00;EUR;194687,00;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRH_L510_2021_NO_13667/1;;Y20R;CZR_DEF_20220427185913_22;;20211231;20211231;-158413,00;EUR;-158413,00;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRH_L510_2021_NO_13668/1;;Y10P;CZR_DEF_20220427185913_23;;20211231;20211231;545123,00;EUR;545123,00;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRH_L510_2021_NO_13668/1;;Y20R;CZR_DEF_20220427185913_24;;20211231;20211231;-443557,00;EUR;-443557,00;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRH_L510_2021_NO_13678/1;;Y10P;CZR_DEF_20220427185913_25;;20211231;20211231;250604,71;EUR;250604,71;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRH_L510_2021_NO_13678/1;;Y20R;CZR_DEF_20220427185913_26;;20211231;20211231;-102074,53;EUR;-102074,53;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRH_L510_2021_NO_13699/1;;Y10P;CZR_DEF_20220427185913_27;;20211231;20211231;65689,54;EUR;65689,54;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRH_L510_2021_NO_13699/1;;Y20R;CZR_DEF_20220427185913_28;;20211231;20211231;-1600,00;EUR;-1600,00;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRH_L510_2021_NO_13744/1;;Y10P;CZR_DEF_20220427185913_29;;20211231;20211231;70182,00;EUR;70182,00;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRH_L510_2021_NO_10261/1;;Y10P;CZR_DEF_20220427185913_3;;20211231;20211231;250763,00;EUR;250763,00;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRH_L510_2021_NO_13744/1;;Y20R;CZR_DEF_20220427185913_30;;20211231;20211231;-39265,00;EUR;-39265,00;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRH_L510_2021_NO_13747/1;;Y10P;CZR_DEF_20220427185913_31;;20211231;20211231;228091,00;EUR;228091,00;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRH_L510_2021_NO_13747/1;;Y20R;CZR_DEF_20220427185913_32;;20211231;20211231;-138336,00;EUR;-138336,00;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRH_L510_2021_NO_13748/1;;Y10P;CZR_DEF_20220427185913_33;;20211231;20211231;277931,50;EUR;277931,50;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRH_L510_2021_NO_13748/1;;Y20R;CZR_DEF_20220427185913_34;;20211231;20211231;-2664,95;EUR;-2664,95;EUR
